Desc2,Hue,Sat,Lum
Medium dark purple,82.5,44.3,36.3
Medium dark red,0.5,89.9,30.8
Medium dark red-orange,4.9,95.3,37.8
Medium dark yellow,14.4,42.5,36.8
Medium dark yellow-brown,11.7,87.4,33.4
Medium dark yellow-green,18.8,42.3,37.5
Medium greyish blue,62.8,35.6,65.4
Medium greyish blue,63.6,35.3,63.4
Medium greyish cyan,57.0,44.1,64.8
Medium greyish green-cyan,41.2,41.6,68.4
Medium greyish purple,69.4,43.5,64.0
Medium greyish purple,71.2,43.7,64.5
Medium light blue,65.3,100.0,66.9
Medium light brown,9.2,83.6,60.8
Medium light cyan-blue,58.3,50.0,60.0
Medium light green-cyan,44.4,50.7,60.2
Medium light greyish brown,6.9,23.0,60.8
Medium light pink,92.6,56.4,71.3
Medium light pink-red,0.6,95.8,62.9
Medium light pink-red,97.6,98.5,61.8
Medium light red,2.0,72.3,66.1
Medium light red,98.0,55.9,72.0
Medium light yellow,14.2,87.9,68.5
Medium light yellow,14.4,87.0,68.9
Medium light yellow-green,19.8,59.9,69.9
Medium soft blue,58.3,80.2,67.4
Moderate blue,62.2,51.9,55.5
Moderate blue-purple,68.5,52.4,54.1
Moderate brown,7.9,45.0,48.4
Moderate cyan,50.7,53.2,51.9
Moderate cyan-blue,57.7,50.0,52.0
Moderate dark brown,3.4,75.8,32.8
Moderate green,27.2,50.2,48.8
Moderate green-cyan,41.8,54.7,50.8
Moderate lime green,33.3,55.0,45.3
Moderate pink,93.8,55.3,51.1
Moderate purple,83.1,54.9,51.6
Moderate red,1.6,50.7,53.9
Moderate red,98.3,54.9,52.4
Moderate violet,77.7,47.1,56.5
Moderate yellow,13.8,55.2,52.5
Moderate yellow,14.1,54.6,52.1
Moderate yellow-green,19.4,54.0,52.2
Orange,8.2,100.0,49.5
Orange brown,6.7,60.4,59.4
Orange yellow,11.9,80.6,56.3
Pale blue,54.7,100.0,81.4
Pale cyan,51.5,100.0,85.6
Pale magenta,81.7,100.0,86.7
Pale orange,8.9,100.0,84.0
Pale pink,1.5,100.0,92.0
Pale pink,92.3,100.0,84.3
Pale red,97.1,100.0,85.8
Pale red-pink,2.2,100.0,82.7
Pale violet,76.7,100.0,84.5
Pale yellow,16.9,100.0,81.7
Pink,90.2,100.0,48.3
Pink-red,95.4,91.7,51.3
Pinkish white,90.7,100.0,97.7
Purple,80.0,100.0,49.8
Purple-pink,90.2,52.4,52.1
Purplish white,72.5,100.0,97.8
Red,0.9,100.0,48.2
Red,97.2,100.0,47.2
Red-orange,4.1,79.0,51.3
Reddish white,2.0,100.0,96.6
Soft blue,57.0,92.3,72.8
Soft blue-purple,69.3,77.7,64.6
Soft brown,6.1,74.6,65.4
Soft cyan,52.4,70.0,69.1
Soft green,21.8,74.0,63.9
Soft lime green,38.4,66.2,65.1
Soft orange,7.3,82.7,67.8
Soft pink,5.3,62.7,65.3
Soft pink,93.7,80.5,64.9
Soft pink-purple,87.5,75.6,67.8
Soft purple,84.6,83.6,69.8
Soft red,1.5,87.6,67.7
Soft red,97.6,84.2,68.4
Soft red-brown,1.5,67.6,57.6
Soft red-orange,5.0,82.1,64.6
Soft violet,75.5,78.4,67.7
Soft yellow,14.1,87.9,68.3
Soft yellow,14.7,88.5,68.9
Soft yellow-green,18.1,75.4,62.7
Strong blue,62.7,69.4,43.9
Strong blue,63.2,71.7,43.0
Strong blue-purple,68.5,94.5,41.3
Strong brown,8.3,73.9,44.9
Strong cyan,52.7,82.2,43.9
Strong cyan-blue,58.3,81.3,44.5
Strong dark blue,60.5,95.0,37.7
Strong dark cyan,50.8,96.7,38.9
Strong dark pink,89.9,75.5,44.8
Strong dark purple,81.7,100.0,38.4
Strong dark red,0.8,87.9,38.8
Strong dark red,96.5,97.9,38.0
Strong dark yellow brown,13.6,82.5,41.4
Strong dark yellow brown,13.7,80.0,41.6
Strong dark yellow-green,20.3,95.6,37.8
