Name0,Desc1,Desc2,Name1,HEX,R,G,B,Hue,Sat,Lum
orange,brown,Pure (or mostly pure) orange,Orange peel,#FF9F00,255,159,0,37,100.0,50.0
orange,brown,Vivid orange,BrightCaliforniaGold,#FE9D04,254,157,4,37,99.2,50.6
brown,brown,Moderate orange,Maple syrup,#bb9351,187,147,81,37,43.8,52.5
brown,light brown,Very soft orange,Durian White,#e6d0ab,230,208,171,37,54.1,78.6
brown,brown,Mostly desaturated dark orange,CaliforniaGold,#A98F64,169,143,100,37,28.6,52.7
orange,brown,Vivid orange,Dark tangerine,#ffa812,255,168,18,37,100.0,53.5
grey,medium light brown,Slightly desaturated orange,Khaki,#C3B091,195,176,145,37,29.4,66.7
grey,very light brown,Light grayish orange,Champagne,#F7E7CE,247,231,206,37,71.9,88.8
brown,medium dark brown,Dark orange [Brown tone],Philippine gold,#b17304,177,115,4,38,95.6,35.5
brown,dark brown,Very dark orange [Brown tone],Violin Brown,#674403,103,68,3,38,94.3,20.8
orange,brown,Pure (or mostly pure) orange,Golden yellow (and a particular rose varietal) (Yamabuki-iro),#ffa400,255,164,0,38,100.0,50.0
orange,brown,Pure (or mostly pure) orange,Vivid orange peel,#FFA000,255,160,0,38,100.0,50.0
brown,brown,Moderate orange,AztecGold,#C39953,195,153,83,38,48.3,54.5
grey,very light brown,Light grayish orange,Magnolia,#F2E8D7,242,232,215,38,50.9,89.6
brown,medium light brown,Slightly desaturated orange,Light French beige,#C8AD7F,200,173,127,38,39.9,64.1
brown,medium dark brown,Dark moderate orange,Yellow Sea pine-brown (Kimirucha),#896c39,137,108,57,38,41.2,38.0
brown,dark brown,Very dark orange [Brown tone],Pineapple,#563c0d,86,60,13,38,73.7,19.4
brown,very light brown,Pale orange,Moccasin,#FFE4B5,255,228,181,38,100.0,85.5
grey,medium dark brown,Very dark grayish orange,Iwai brown (Iwaicha),#5e5545,94,85,69,38,15.3,32.0
grey,brown,Mostly desaturated dark orange,Crayola Shadow,#837050,131,112,80,38,24.2,41.4
orange,brown,Vivid orange,Gamboge,#EF9B0F,239,155,15,38,88.2,49.8
brown,light brown,Very soft orange,Peach-yellow,#FADFAD,250,223,173,39,88.5,82.9
brown,brown,Slightly desaturated orange,Brass,#C3A368,195,163,104,39,43.1,58.6
brown,very light  brown,Pale orange,Peach,#FFE5B4,255,229,180,39,100.0,85.3
brown,brown,Vivid orange,Marigold,#EAA221,234,162,33,39,82.7,52.4
brown,medium light brown,Slightly desaturated orange,Ecru,#CDB891,205,184,145,39,37.5,68.6
grey,very light  brown,Light grayish orange,White coffee,#e6e0d4,230,224,212,39,26.5,86.7
brown,light brown,Very soft orange,Wheat,#F5DEB3,245,222,179,39,76.7,83.1
brown,brown,Mostly desaturated dark orange,DeepBronze,#8C7853,140,120,83,39,25.6,43.7
orange,brown,Pure (or mostly pure) orange,Orange,#FFA500,255,165,0,39,100.0,50.0
orange,brown,Pure (or mostly pure) orange,Cheese,#ffa600,255,166,0,39,100.0,50.0
grey,dark brown,Very dark grayish orange,Sikkens F7.14.20 (RAL 6014),#463F32,70,63,50,39,16.7,23.5
orange,brown,Pure (or mostly pure) orange,Chrome yellow,#FFA700,255,167,0,39,100.0,50.0
brown,brown,Vivid orange,Gamboge,#E49B0F,228,155,15,39,87.7,47.6
grey,light  brown,Light grayish orange,Bone,#E3DAC9,227,218,201,39,31.7,83.9
orange,medium light brown,Light orange,Chickadee,#ffc34d,255,195,77,39,100.0,65.1
grey,very light brown,Light grayish orange,Penguin White,#f5f3ef,245,243,239,39,23.1,94.9
grey,very light brown,Light grayish orange,Oldlace,#FDF5E6,253,245,230,39,85.2,94.7
brown,brown,Mostly desaturated dark orange,Pale Brown,#987654,152,118,54,39,28.8,46.3
grey,very light yellow,Light grayish orange,Platinum,#E5E4E2,229,228,226,40,5.5,89.2
yellow,medium light yellow,Soft orange,Maximum yellow red,#F2BA49,242,186,73,40,86.7,61.8
brown,medium light brown,Slightly desaturated orange,TaosTaupe,#BFAA80,191,170,128,40,33.0,62.5
brown,brown,Pure (or mostly pure) orange,Harvest gold,#DA9100,218,145,0,40,100.0,42.7
brown,medium dark yellow,Dark orange [Brown tone],Gamboge orange (brown),#996600,153,102,0,40,100.0,30.0
brown,yellow,Strong orange,LightPeruTan,#C18D25,193,141,37,40,67.8,45.1
brown,medium dark red,Very dark grayish red,"Liver,Medium taupe",#674C47,103,76,21,40,18.4,34.1
orange,yellow,Vivid orange,Gamboge (Tōō),#ffb61e,255,182,30,40,100.0,55.9
brown,yellow,Strong orange,University Of California Gold,#B78727,183,135,39,40,64.9,43.5
white,very light brown,Very pale (mostly white) orange,Floralwhite,#FFFAF0,255,250,240,40,100.0,97.1
brown,red,Dark grayish red,MauveGlow,#AD8884,173,160,132,41,20.0,59.8
grey,medium light yellow,Dark grayish orange,Iron,#a19d94,161,157,148,41,6.5,60.6
brown,yellow,Dark moderate orange,Metallic Sunburst,#9C7C38,156,124,56,41,47.2,41.6
grey,dark yellow,Very dark desaturated orange,Flirtatious indigo tea (Aikobicha),#473f2d,71,63,45,41,22.4,22.7
grey,very light yellow,Light grayish orange,White chocolate,#ede6d6,237,230,214,41,39.0,88.4
grey,medium light yellow,Dark grayish orange,Valspar Paint Weekend In The Country,#A79E8B,167,158,139,41,13.7,60.0
brown,yellow,Dark moderate orange,Pale fallen leaves (Aokuchiba),#aa8736,170,135,54,41,51.8,43.9
brown,light yellow,Very soft orange,LightBuff,#ECD9B0,236,217,176,41,61.2,80.8
yellow,yellow,Vivid orange,Spanish yellow,#f6b511,246,181,17,42,92.7,51.6
brown,medium dark yellow,Dark orange [Brown tone],Porcupine,#936900,147,105,0,42,100.0,28.8
yellow,yellow,Bright orange,Japanese triandra grass (Themeda japonica) (Kariyasu),#e2b13c,226,177,60,42,74.1,56.1
orange,yellow,Pure (or mostly pure) orange,Ucla Gold,#ffb300,255,179,0,42,100.0,50.0
orange,yellow,Pure (or mostly pure) orange,Chinese yellow,#FFB200,255,178,0,42,100.0,50.0
brown,medium dark yellow,Very dark orange [Brown tone],Field drab,#6C541E,108,84,30,42,56.5,27.1
grey,very light  yellow,Light grayish orange,Pearl,#eae0c8,234,224,200,42,44.7,85.1
black,very dark yellow,Very dark (mostly black) orange [Brown tone],Black chocolate,#1B1811,27,24,17,42,22.7,8.6
grey,light yellow,Very soft orange,Dutch white,#EFDFBB,239,223,187,42,61.9,83.5
brown,yellow,Slightly desaturated orange,Pale oak (Aoshirotsurubami),#bba46d,187,164,109,42,36.4,58.0
grey,yellow,Mostly desaturated dark orange,Gold Fusion,#85754E,133,117,78,43,26.1,41.4
brown,light yellow,Very soft orange,Banana Mania,#FAE7B5,250,231,181,43,87.3,84.5
brown,medium light yellow,Soft orange,Lanzones,#e0bc5b,224,188,91,43,68.2,61.8
brown,yellow,Vivid orange,Goldenrod,#DAA520,218,165,32,43,74.4,49.0
brown,yellow,Moderate orange,Satin sheen gold,#CBA135,203,161,53,43,59.1,50.2
brown,medium dark yellow,Dark orange [Brown tone],Rapeseed oil-colored (Nataneyu-iro),#a17917,161,121,23,43,75.0,36.1
grey,dark yellow,Very dark desaturated orange,Olive Drab #7,#3C341F,60,52,31,43,31.9,17.8
white,very light yellow,Very pale (mostly white) orange,Cosmic latte,#FFF8E7,255,248,231,43,100.0,95.3
brown,yellow,Vivid orange,Urobilin,#e1ad21,225,173,33,43,76.2,50.6
brown,yellow,Bright orange,Meat brown,#e5b73b,229,183,59,43,76.6,56.5
brown,yellow,Bright orange,Rape-blossom brown (Nanohanacha),#e3b130,227,177,48,43,76.2,53.9
yellow,yellow,Bright orange,Amur cork tree (Phellodendron amurense) (Kihada),#f3c13a,243,193,58,43,88.5,59.0
yellow,yellow,Vivid orange,Ripe mango,#ffc324,255,195,36,43,100.0,57.1
grey,medium dark yellow,Very dark desaturated orange,Rikan brown (Rikancha),#534a32,83,74,50,43,24.8,26.1
brown,medium dark yellow,Strong orange,Darkgoldenrod,#B8860B,184,134,11,43,88.7,38.2
brown,yellow,Dark moderate orange,Finch-brown (Cardueline finch) (Hiwacha),#957b38,149,123,56,43,45.4,40.2
yellow,yellow,Bright orange,MissouriUniversityGold,#F1B82D,241,184,45,43,87.5,56.1
brown,medium dark yellow,Dark orange [Brown tone],"Bistre brown,Drab,Mode beige,Sand dune,Sandy taupe",#967117,150,113,23,43,73.4,33.9
orange,yellow,Pure (or mostly pure) orange,Microsoft yellow,#fdb900,253,185,0,43,100.0,49.6
yellow,yellow,Vivid orange,Orange-yellow,#F5BD1F,245,189,31,44,91.5,54.1
brown,yellow,Strong orange,CalPolyPomonaGold,#C6930A,198,147,10,44,90.4,40.8
yellow,medium light  yellow,Light orange,Google Chrome yellow,#ffce44,255,206,68,44,100.0,63.3
yellow,yellow,Pure (or mostly pure) orange,American yellow,#f2b400,242,180,0,44,100.0,47.5
yellow,medium light yellow,Soft orange,Maize (Crayola),#F2C649,242,198,73,44,86.7,61.8
grey,very light yellow,Light grayish orange,SpanishSand,#ECE2C6,236,226,198,44,50.0,85.1
grey,dark yellow,Very dark desaturated orange,Pullman Green,#3b331c,59,51,28,44,35.6,17.1
grey,medium light yellow,Grayish orange,NewSilver,#BFB8A5,191,184,165,44,16.9,69.8
yellow,yellow,Pure (or mostly pure) orange,Selective yellow,#FFBA00,255,186,0,44,100.0,50.0
grey,medium light yellow,Grayish orange,Inside of a bottle (Kamenozoki),#c6c2b6,198,194,182,44,12.3,74.5
brown,medium light yellow,Slightly desaturated yellow,"Sand,Ecru",#C2B280,194,178,128,45,35.1,63.1
brown,very light yellow,Light grayish yellow,Lotion,#fefdfa,254,253,250,45,66.7,98.8
brown,yellow,Moderate yellow,BronzeGold,#C9AE5D,201,174,93,45,50.0,57.6
yellow,yellow,Strong orange,Lemon curry,#CCA01D,204,160,29,45,75.1,45.7
orange,yellow,Pure (or mostly pure) orange,"Amber,Fluorescent orange",#FFBF00,255,191,0,45,100.0,50.0
yellow,medium light yellow,Vivid yellow,Sunglow,#FFCC33,255,204,51,45,100.0,60.0
yellow,yellow,Bright yellow,Saffron,#F4C430,244,196,48,45,89.9,57.3
yellow,medium light  yellow,Soft yellow,Orange-yellow (Crayola),#F8D568,248,213,104,45,91.1,69.0
grey,yellow,Mostly desaturated dark yellow,Dark tan,#918151,145,129,81,45,28.3,44.3
yellow,yellow,Vivid yellow,Sunset Yellow,#ffc922,255,201,34,45,100.0,56.7
grey,yellow,Dark grayish yellow,Willow grey (Yanaginezumi),#817b69,129,123,105,45,10.3,45.9
yellow,yellow,Vivid yellow,Mikado yellow,#FFC40C,255,196,12,45,100.0,52.4
yellow,medium light yellow,Soft yellow,Dandelion (Crayola),#fddb6d,253,219,109,45,97.3,71.0
brown,medium dark yellow,Strong yellow,Chinese gold,#cc9900,204,153,0,45,100.0,40.0
yellow,medium light yellow,Soft orange,Crayola Goldenrod,#FCD667,252,214,103,45,96.1,69.6
yellow,yellow,Pure (or mostly pure) yellow,Golden poppy,#FCC200,252,194,0,46,100.0,49.4
brown,light yellow,Very soft yellow,Cookies and cream,#eee0b1,238,224,177,46,64.2,81.4
yellow,yellow,Vivid orange,Mango,#FDBE02,253,190,2,46,98.4,50.0
yellow,medium light yellow,Soft yellow,Crayola Dandelion,#FED85D,254,216,93,46,98.8,68.0
yellow,yellow,Vivid yellow,Mustard yellow,#e1ad01,225,173,1,46,99.1,44.3
brown,yellow,Dark moderate yellow,Willow tea (Yanagicha),#9c8a4d,156,138,77,46,33.9,45.7
yellow,yellow,Moderate yellow,American gold,#D3AF37,211,175,55,46,63.9,52.2
yellow,yellow,Moderate yellow,Gold (metallic),#D4AF37,212,175,55,46,64.6,52.4
brown,medium dark yellow,Dark yellow [Olive tone],Gold,#A57C00,165,124,0,46,100.0,32.4
grey,very light yellow,Light grayish yellow,Eggshell,#F0EAD6,240,234,214,46,46.4,89.0
yellow,medium light yellow,Soft yellow,Jasmine,#F8DE7E,248,222,126,47,89.7,73.3
yellow,medium light yellow,Light yellow,Mustard,#FFDB58,255,219,88,47,100.0,67.3
yellow,yellow,Vivid yellow,LightCaliforniaGold,#FFD230,255,210,48,47,100.0,59.4
brown,medium light orange,Slightly desaturated orange,Pale taupe,#BC987E,188,152,26,47,31.6,61.6
yellow,yellow,Strong yellow,Gold foil,#bd9b16,189,155,22,47,79.1,41.4
yellow,yellow,Vivid yellow,Metallic yellow,#fdcc0d,253,204,13,47,98.4,52.2
yellow,yellow,Vivid yellow,Deep lemon,#F5C71A,245,199,26,47,91.6,53.1
grey,very light yellow,Very soft yellow,Lemon meringue,#F6EABE,246,234,190,47,75.7,85.5
yellow,yellow,Vivid yellow,Supernova,#FFC901,255,201,1,47,100.0,50.2
yellow,yellow,Pure (or mostly pure) yellow,Philippine yellow,#fecb00,254,203,0,47,100.0,49.8
grey,very light yellow,Light grayish yellow,Behr White Corn W-B-320,#F4EED7,244,238,215,48,56.9,90.0
yellow,light yellow,Very soft yellow,"Vanilla,Medium champagne",#F3E5AB,243,229,171,48,75.0,81.2
brown,dark yellow,Very dark yellow [Olive tone],Dark bronze (Coin),#514100,81,65,0,48,100.0,15.9
grey,yellow,Mostly desaturated dark yellow,Baiko brown (Baikōcha),#857c55,133,124,85,48,22.0,42.7
grey,very light  yellow,Very pale yellow,Cornsilk,#FFF8DC,255,248,220,48,100.0,93.1
yellow,yellow,Pure (or mostly pure) yellow,Tangerine yellow,#FFCC00,255,204,0,48,100.0,50.0
yellow,yellow,Bright yellow,Durian Yellow,#e1bd27,225,189,39,48,75.6,51.8
grey,medium dark yellow,Very dark grayish yellow,Greyish dark green (Rikyūnezumi),#656255,101,98,85,48,8.6,36.5
yellow,medium light yellow,Soft yellow,"Jonquil,Naples yellow,Stil de grain yellow",#FADA5E,250,218,94,48,94.0,67.5
yellow,yellow,Vivid yellow,Patrinia flowers (Patrinia scabiosaefolia) (Ominaeshi),#d9b611,217,182,17,49,85.5,45.9
grey,dark yellow,Very dark desaturated yellow,Codium fragile seaweed color (Miru-iro),#524b2a,82,75,42,49,32.3,24.3
yellow,yellow,Moderate yellow,Old gold,#CFB53B,207,181,59,49,60.7,52.2
yellow,medium light yellow,Light yellow,Gargoyle Gas,#ffdf46,255,223,70,49,100.0,63.7
yellow,medium light yellow,Very light yellow,Shandy,#ffe670,255,230,112,49,100.0,72.0
yellow,yellow,Vivid yellow,Jonquil,#F4CA16,244,202,22,49,91.0,52.2
yellow,medium light yellow,Soft yellow,Buff,#F0DC82,240,220,130,49,78.6,72.5
yellow,yellow,Pure (or mostly pure) yellow,Cyber yellow,#FFD300,255,211,0,50,100.0,50.0
grey,very light  yellow,Light grayish yellow,Alabaster,#EDEAE0,237,234,224,50,26.5,90.4
yellow,medium dark yellow,Strong yellow,BuddhaGold,#C1A004,193,160,4,50,95.9,38.6
brown,medium dark yellow,Dark moderate yellow,Moss color (Koke-iro),#8b7d3a,139,125,58,50,41.1,38.6
yellow,medium light yellow,Soft yellow,Flax,#EEDC82,238,220,130,50,76.1,72.2
brown,medium dark yellow,Dark yellow [Olive tone],Light gold,#b29700,178,151,0,50,100.0,34.9
grey,very light yellow,Light grayish yellow,Alabaster,#f2f0e6,242,240,230,50,31.6,92.5
grey,yellow,Dark grayish yellow,Titanium,#878681,135,134,129,50,2.4,51.8
yellow,light yellow,Very light yellow,LightGoldenrod,#FFEC8B,255,236,139,50,100.0,77.3
yellow,medium light yellow,Soft yellow,EnergyYellow,#F8DD5C,248,221,92,50,91.8,66.7
yellow,light yellow,Soft yellow,Yellow (Crayola),#FCE883,252,232,131,50,95.3,75.1
yellow,yellow,Moderate yellow,Vegas gold,#C5B358,197,179,88,50,48.4,55.9
brown,very light yellow,Very soft yellow,Blond,#FAF0BE,250,240,190,50,85.7,86.3
brown,light yellow,Very soft orange,Crayola Banana Mania,#FBE7B2,251,231,128,50,90.1,84.1
brown,yellow,Strong yellow,Greenfinch color (Hiwa-iro),#bda928,189,169,40,51,65.1,44.9
yellow,yellow,Pure (or mostly pure) yellow,Gold,#FFD700,255,215,0,51,100.0,50.0
yellow,yellow,Vivid yellow,Sprint Yellow,#ffdd05,255,221,5,51,100.0,51.0
brown,medium dark yellow,Dark yellow [Olive tone],Dark yellow,#9b870c,155,135,12,51,85.6,32.7
yellow,light yellow,Very soft yellow,Flavescent,#f7e98e,247,233,142,51,86.8,76.3
grey,medium light yellow,Slightly desaturated yellow,Underside of willow leaves (Urahayanagi),#bcb58c,188,181,140,51,26.4,64.3
yellow,medium light yellow,Light yellow,Banana yellow,#ffe135,255,225,53,51,100.0,60.4
yellow,yellow,Vivid yellow,Candlelight,#FCD917,252,217,23,51,97.4,53.9
yellow,yellow,Pure (or mostly pure) yellow,Yellow (Munsell),#EFCC00,239,204,0,51,100.0,46.9
yellow,yellow,Pure (or mostly pure) yellow,School bus yellow,#FFD800,255,216,0,51,100.0,50.0
yellow,medium light yellow,Soft yellow,"Arylide yellow,Hansa yellow",#E9D66B,233,214,107,51,74.1,66.7
grey,light yellow,Light grayish yellow,Dirty white,#e8e4c9,232,228,201,52,40.3,84.9
yellow,medium light yellow,Soft yellow,Minion yellow,#F5E050,245,224,80,52,89.2,63.7
grey,yellow,Moderate yellow,Brass,#b5a642,181,166,66,52,46.6,48.4
yellow,yellow,Bright yellow,Margarine,#f2d930,242,217,48,52,88.2,56.9
yellow,yellow,Pure (or mostly pure) yellow,Sizzling Sunrise,#FFDB00,255,219,0,52,100.0,50.0
yellow,yellow,Bright yellow,Sandstorm,#ECD540,236,213,64,52,81.9,58.8
yellow,yellow,Pure (or mostly pure) yellow,Golden yellow,#FFDF00,255,223,0,52,100.0,50.0
grey,medium dark yellow,Dark moderate yellow,Spanish bistre,#807532,128,117,50,52,43.8,34.9
grey,medium dark yellow,Very dark yellow [Olive tone],Antique bronze,#665D1E,102,93,30,53,54.5,25.9
yellow,yellow,Pure (or mostly pure) yellow,Yellow (Pantone),#FEDF00,254,223,0,53,100.0,49.8
yellow,yellow,Vivid yellow,Safety yellow,#EED202,238,210,2,53,98.3,47.1
yellow,medium light yellow,Soft yellow,MediumLemon,#F5E25C,245,226,92,53,88.4,66.1
grey,yellow,Moderate yellow,EarlsGreen,#C9B93B,201,185,59,53,56.8,51.0
yellow,yellow,Vivid yellow,Vivid yellow,#FFE302,255,227,2,53,100.0,50.4
grey,medium dark yellow,Very dark grayish yellow,Sooty willow bamboo (Yanagisusutake),#4d4b3a,77,75,58,53,14.1,26.5
yellow,yellow,Pure (or mostly pure) yellow,"Tamiya 80024,X24",#FEE600,254,230,0,54,100.0,49.8
grey,medium light yellow,Very soft yellow,Light khaki,#F0E68C,240,230,140,54,76.9,74.5
yellow,very light yellow,Very pale yellow,Lemonchiffon,#FFFACD,255,250,205,54,100.0,90.2
grey,medium light yellow,Slightly desaturated yellow,Misty moss,#BBB477,187,180,119,54,33.3,60.0
yellow,medium light yellow,Soft yellow,LightCandlelight,#FEEF61,254,239,97,54,98.7,68.8
yellow,yellow,Vivid yellow,Citrine,#E4D00A,228,208,10,54,91.6,46.7
yellow,yellow,Vivid yellow,SupernovaLight,#FFE816,255,232,28,54,100.0,54.3
grey,medium dark yellow,Dark moderate yellow,Old moss green,#867e36,134,126,54,54,42.6,36.9
yellow,medium light yellow,Very soft yellow,Crayola Green Yellow,#F1E788,242,231,136,54,78.9,73.9
yellow,medium light yellow,Soft yellow,"Corn,Maize",#FBEC5D,251,236,93,54,95.2,67.5
yellow,medium light yellow,Soft yellow,Straw,#E4D96F,228,217,111,54,68.4,66.5
grey,medium light yellow,Slightly desaturated yellow,Sage,#BCB88A,188,184,138,55,27.2,63.9
yellow,yellow,Pure (or mostly pure) yellow,Middle yellow,#FFEB00,255,235,0,55,100.0,50.0
yellow,yellow,Bright yellow,LightBuddhaGold,#E4D430,228,212,48,55,76.9,54.1
yellow,light yellow,Very soft yellow,Green-yellow (Crayola),#f0e891,240,232,145,55,76.0,75.5
yellow,light yellow,Very soft yellow,Palegoldenrod,#EEE8AA,238,232,170,55,66.7,80.0
yellow,yellow,Bright yellow,Dandelion,#f0e130,240,225,48,55,86.5,56.5
yellow,yellow,Vivid yellow,LemonPeel,#FDE910,253,233,16,55,98.3,52.7
grey,medium light yellow,Very soft yellow,LightEarlsGreen,#E8E08E,232,224,142,55,66.2,73.3
grey,medium dark yellow,Very dark grayish yellow,DarkBronze,#52503C,82,80,60,55,15.5,27.8
grey,medium light yellow,Slightly desaturated yellow,Graham & Brown Bowling Green,#D6CE7B,214,206,123,55,52.6,66.1
yellow,yellow,Pure (or mostly pure) yellow,Aureolin,#FDEE00,253,238,0,56,100.0,49.6
grey,yellow,Slightly desaturated yellow,Darkkhaki,#BDB76B,189,183,107,56,38.3,58.0
yellow,yellow,Pure (or mostly pure) yellow,Canary yellow,#FFEF00,255,239,0,56,100.0,50.0
yellow,yellow,Pure (or mostly pure) yellow,Yellow rose,#fff000,255,240,0,56,100.0,50.0
yellow,medium light yellow,Light yellow,Lemon yellow,#FFF44F,255,244,79,56,100.0,65.5
yellow,yellow,Bright yellow,SpanishLemon,#E5DE43,229,222,67,57,75.7,58.0
yellow,very light yellow,Very pale yellow,Cream,#FFFDD0,255,253,208,57,100.0,90.8
yellow,medium light yellow,Soft yellow,Dodie yellow,#fef65b,254,246,91,57,98.8,67.6
grey,medium dark yellow,Very dark yellow [Olive tone],Olivetone,#716E10,113,110,16,58,75.2,25.3
yellow,yellow,Pure (or mostly pure) yellow,Peridot,#e6e200,230,226,0,58,100.0,45.1
yellow,medium light yellow,Soft yellow,Icterine,#FCF75E,252,247,94,58,96.3,67.8
yellow,yellow,Pure (or mostly pure) yellow,Cadmium yellow,#FFF600,255,246,0,58,100.0,50.0
grey,dark yellow,Dark yellow [Olive tone],Bronze yellow,#737000,115,112,0,58,100.0,22.5
yellow,yellow,Pure (or mostly pure) yellow,Titanium yellow,#eee600,238,230,0,58,100.0,46.7
very,yellow,Slightly desaturated yellow,Pomelo Olive,#bfbd70,191,189,112,58,38.2,59.4
yellow,yellow,Pure (or mostly pure) yellow,Lemon,#FFF700,255,247,0,58,100.0,50.0
grey,yellow,Moderate yellow,LightOlivetone,#B8B654,184,182,84,59,41.3,52.5
grey,yellow,Slightly desaturated yellow,Olive green,#B5B35C,181,179,92,59,37.6,53.5
grey,light  yellow,Light grayish yellow,Pale spring bud,#ECEBBD,236,235,189,59,55.3,83.3
yellow,medium light yellow-green,Soft yellow,Sunny,#f2f27a,242,242,122,60,82.2,71.4
grey,light yellow-green,Grayish yellow,Pastel gray,#cfcfc4,207,207,196,60,10.3,79.0
yellow,yellow-green,Strong yellow,BananaYellow,#CCCC33,204,204,51,60,60.0,50.0
white,very light  yellow-green,Very pale yellow,Lightyellow,#FFFFE0,255,255,224,60,100.0,93.9
yellow,yellow-green,Bright yellow,Yellow (RYB),#FEFE33,254,254,51,60,99.0,59.8
grey,medium dark yellow-green,Very dark desaturated yellow,Mustard green,#6e6e30,110,110,48,60,39.2,31.0
yellow,yellow,Vivid yellow,Xanthic,#EEED09,238,237,9,60,92.7,48.4
yellow,yellow-green,Vivid yellow,LaserLemon,#FEFE22,254,254,34,60,99.1,56.5
white,very light yellow-green,Light grayish yellow,Baby powder,#FEFEFA,254,254,250,60,66.7,98.8
white,very light  yellow-green,Very pale (mostly white) yellow,Ivory,#FFFFF0,255,255,240,60,100.0,97.1
white,very light yellow-green,Light grayish yellow,Beige,#F5F5DC,245,245,220,60,55.6,91.2
yellow,medium light yellow-green,Vivid yellow,Electric yellow,#FFFF33,255,255,51,60,100.0,60.0
yellow,yellow-green,Vivid yellow,DaisyYellow,#FDFD02,255,253,2,60,98.4,50.0
yellow,yellow-green,Vivid yellow,Daffodil,#FFFF31,255,255,49,60,100.0,59.6
yellow,light yellow-green,Pale yellow,Lemon yellow (Crayola),#FFFF9F,255,255,159,60,100.0,81.2
yellow,yellow-green,Bright yellow,Maximum yellow,#FAFA37,250,250,55,60,95.1,59.8
grey,very light yellow-green,Light grayish yellow,Lightgoldenrodyellow,#FAFAD2,250,250,210,60,80.0,90.2
white,very light yellow-green,Very pale yellow,Conditioner,#ffffcc,255,255,204,60,100.0,90.0
grey,medium dark yellow-green,Dark moderate yellow,DarkMustard,#7C7C40,124,124,64,60,31.9,36.9
yellow,light yellow-green,Very light yellow,Canary,#FFFF99,255,255,153,60,100.0,80.0
grey,yellow-green,Slightly desaturated yellow,GreenChartreuseLiqueur,#BFBF6C,191,191,108,60,39.3,58.6
yellow,light yellow-green,Very soft yellow,Pastel yellow,#fdfd96,253,253,150,60,96.3,79.0
yellow,medium light  yellow-green,Light yellow,Laser lemon,#FFFF66,255,255,102,60,100.0,70.0
yellow,yellow-green,Vivid yellow,Sponge,#fdfe03,253,254,3,60,99.2,50.4
yellow,yellow-green,Pure (or mostly pure) yellow,"Yellow,Electric yellow",#FFFF00,255,255,0,60,100.0,50.0
grey,medium dark yellow-green,Dark yellow [Olive tone],"Olive,Heart Gold",#808000,128,128,0,60,100.0,25.1
yellow,yellow-green,Pure (or mostly pure) yellow,Lemon glacier,#FDFF00,253,255,0,60,100.0,50.0
grey,yellow-green,Dark grayish yellow,Battleship grey,#848482,132,132,130,60,0.8,51.4
yellow,very light yellow-green,Pale yellow,Very pale yellow,#ffffbf,255,255,191,60,100.0,87.5
grey,medium light yellow-green,Slightly desaturated yellow,British Standard BS 2660 BS 5-062 - Yaffle green,#CECF72,206,207,114,61,49.2,62.9
yellow,light yellow-green,Pale yellow,Calamansi,#FCFFA4,252,255,164,62,100.0,82.2
yellow,medium light yellow-green,Bright yellow,Starship,#ECF245,236,242,69,62,86.9,61.0
grey,yellow-green,Dark grayish yellow,Rusty celadon (Sabiseiji),#898a74,137,138,116,62,8.7,49.8
yellow,light yellow-green,Very soft yellow,LightStarship,#F7FA97,247,250,151,62,90.8,78.6
grey,medium light yellow-green,Soft yellow,Bored accent green,#dde26a,221,226,106,62,67.4,65.1
grey,medium light yellow-green,Slightly desaturated yellow,LightCitron,#D3D86E,211,216,110,63,57.6,63.9
grey,medium light yellow-green,Soft yellow,LightLaRioja,#DDE454,221,228,84,63,72.7,61.2
grey,light yellow-green,Very soft yellow,PaleLimeYellow,#EAEDA6,234,237,166,63,66.4,79.0
grey,medium light yellow-green,Soft yellow,LightBitterLemon,#E8F24E,232,242,78,64,86.3,62.7
yellow,yellow-green,Vivid yellow,Watermelon Yellow,#eeff1b,238,255,27,64,100.0,55.3
yellow,medium light yellow-green,Soft yellow,Chinese green,#d0db61,208,219,97,65,62.9,62.0
yellow,yellow-green,Strong yellow,Acid green,#B0BF1A,176,191,26,65,76.0,42.5
green,medium light yellow-green,Soft yellow,Maximum green yellow,#D9E650,217,230,80,65,75.0,60.8
green,medium dark yellow-green,Dark yellow [Olive tone],Citron,#9FA91F,158,169,31,65,69.0,39.2
green,yellow-green,Strong yellow,LaRioja,#B3C110,179,193,16,65,84.7,41.0
green,yellow-green,Vivid yellow,Bitter lemon,#CAE00D,202,224,13,66,89.0,46.5
green,medium light yellow-green,Soft yellow,LightLasPalmas,#E6F554,230,245,84,66,89.0,64.5
green,light yellow-green,Very soft yellow,AustralianMint,#EFF7AA,239,247,170,66,82.8,81.8
green,yellow-green,Bright yellow,Pear,#D1E231,209,226,49,66,75.3,53.9
grey,medium light yellow-green,Slightly desaturated yellow,MediumWinterPear,#B0B583,176,181,131,66,25.3,61.2
green,yellow-green,Moderate yellow,MediumChartreuse,#B0BC4A,176,188,74,66,46.0,51.4
green,medium light yellow-green,Moderate yellow,WildLime,#CBD862,205,216,98,66,60.2,61.6
green,yellow-green,Pure (or mostly pure) yellow,Lemon lime,#E3FF00,227,255,0,67,100.0,50.0
green,light yellow-green,Very soft yellow,Key lime,#E8F48C,232,244,140,67,82.5,75.3
