Name0,Desc1,Desc2,Name1,HEX,R,G,B,Hue,Sat,Lum
orange,medium light red,Bright red,Orange soda,#FA5B3D,250,91,61,10,95.0,61.0
grey,very light  red,Light grayish red,LightDullPallidRose,#F5E2DE,245,226,222,10,53.5,91.6
grey,very light red,Light grayish red,AlmostMauve,#EBE1DF,235,225,223,10,23.1,89.8
brown,red,Moderate red,Dark coral,#CD5B45,205,91,69,10,57.6,53.7
brown,medium dark red,Dark red,Chinese brown,#ab381f,171,56,31,10,69.3,39.6
pink,light red,Very soft red,Melon,#FEBAAD,254,186,173,10,97.6,83.7
brown,medium dark red-orange,Dark moderate red,Sparrow-brown (Suzumecha),#8c4736,140,71,54,11,44.3,38.0
brown,red-orange,Mostly desaturated dark red,DarkTan,#865E55,134,94,85,11,22.4,42.9
brown,dark red-orange,Very dark desaturated red,Boiled red bean brown (Momoshiocha),#542d24,84,45,36,11,40.0,23.5
orange,light red-orange,Very soft red,Poppy Petal,#f6a08c,246,160,140,11,85.5,75.7
black,dark red-orange,Very dark red,French puce,#4E1609,78,22,9,11,79.3,17.1
orange,medium light red,Light red,Portland Orange,#FF5A36,255,90,54,11,100.0,60.6
red,medium dark red-orange,Dark red,Chinese red,#AA381E,170,56,30,11,70.0,39.2
brown,red,Mostly desaturated dark red,MediumGirlsenberry,#AA786D,170,120,109,11,26.4,54.7
red,red-orange,Vivid red,Electric orange,#ff3503,255,53,3,11,100.0,50.6
orange,medium light red-orange,Light red,Crayola Outrageous Orange,#FF6037,255,96,55,12,100.0,60.8
brown,medium dark red-orange,Dark red,"Kobe, Sienna",#882D17,136,45,23,12,71.1,31.2
orange,red-orange,Vivid red,Ochre (earthen yellow-red-brown) (Ōtan),#ff4e20,255,78,32,12,100.0,56.3
black,dark red-orange,Very dark desaturated red,Scorched brown (Kogecha),#351f19,53,31,25,12,35.9,15.3
brown,red-orange,Bright red,Overdyed,#e35c38,227,92,56,12,75.3,55.5
orange,light red-orange,Very light red,Crayola Vivid Tangerine,#FF9980,255,153,128,12,100.0,75.1
orange,medium light red-orange,Light red,Outrageous Orange,#FF6E4A,255,110,74,12,100.0,64.5
brown,red-orange,Dark moderate red,Brown (Crayola),#AF593E,175,89,67,12,47.7,46.5
