index,Name0,Hue,Sat,Lum
14296647,red,349.0,70.9,50.2
16757248,orange,42.0,100.0,50.0
13209,blue,220.0,100.0,30.0
8405056,brown,0.0,33.3,37.6
7241600,grey,183.0,7.6,46.7
3114108,cyan,174.0,47.5,35.1
1512466,black,24.0,12.2,8.0
16427333,brown,33.0,94.8,62.5
15726506,green,66.0,82.8,81.8
15524550,grey,44.0,50.0,85.1
13882323,grey,0.0,0.0,82.7
52275,green,135.0,100.0,40.0
5070163,grey,143.0,9.4,33.3
12431,blue,220.0,100.0,28.0
3483941,black,15.0,17.8,17.6
16383971,white,72.0,100.0,94.5
3621425,grey,98.0,14.8,22.5
10031513,purple,300.0,80.0,33.3
14940552,green,72.0,90.4,75.5
4251856,cyan,174.0,72.1,56.5
4734347,blue,248.0,39.0,39.2
14313487,orange,26.0,87.1,45.7
8776325,green,120.0,70.6,72.0
8764261,green,97.0,38.7,56.5
16758741,pink,335.0,100.0,85.9
16742400,orange,28.0,100.0,50.0
13421772,grey,0.0,0.0,80.0
16711720,pink,350.0,100.0,50.0
6491919,brown,0.0,73.7,22.4
11725917,green,79.0,79.0,64.5
3282765,purple,270.0,54.0,19.6
16711759,red,341.0,100.0,50.0
12281128,brown,24.0,64.8,44.5
16725251,red,11.0,100.0,50.6
413248,green,168.0,85.7,16.5
4369886,blue,199.0,70.3,56.5
8864014,brown,18.0,81.2,29.2
14840411,brown,10.0,69.9,62.2
7937272,purple,265.0,94.0,54.1
3035280,blue,219.0,51.6,37.3
15023427,pink,358.0,76.4,56.9
287495,green,121.0,92.2,20.2
16107290,yellow,47.0,91.6,53.1
10845184,brown,46.0,100.0,32.4
10835856,purple,316.0,31.0,49.4
4610373,grey,116.0,12.7,31.0
14942223,red,356.0,100.0,44.7
1051656,black,30.0,33.3,4.7
6856880,blue,193.0,31.3,54.9
16728576,red,15.0,100.0,50.0
14105406,orange,358.0,66.1,53.7
16162956,orange,11.0,85.5,75.7
6896497,purple,291.0,31.4,33.7
16759118,brown,36.0,100.0,65.3
6050894,grey,25.0,8.2,33.3
4991106,purple,264.0,52.9,33.3
3897441,green,157.0,34.1,35.1
9075037,grey,37.0,19.5,45.3
2598464,green,137.0,62.0,40.2
16172760,pink,338.0,72.7,87.1
12615809,brown,359.0,33.7,62.7
5466232,grey,206.0,18.2,39.8
16104735,yellow,44.0,91.5,54.1
13320532,red,352.0,57.0,52.5
12224345,brown,28.0,41.3,53.9
14524637,purple,300.0,47.3,74.7
4966351,cyan,183.0,57.9,55.3
1849787,blue,229.0,74.0,42.2
10052475,purple,333.0,21.4,49.4
15899831,pink,341.0,76.8,78.0
12627,blue,205.0,100.0,16.3
6741418,green,160.0,63.6,63.3
11737883,red,0.0,73.8,40.4
14256808,pink,337.0,51.0,69.6
1438958,blue,178.0,91.0,52.0
8538933,brown,17.0,42.1,35.9
1280008,green,115.0,88.9,28.2
16752384,orange,37.0,100.0,50.0
12733586,pink,324.0,49.2,52.9
15592160,grey,50.0,26.5,90.4
43115,green,158.0,100.0,32.9
10499186,purple,326.0,50.9,41.6
16666330,pink,312.0,98.9,65.1
16741120,orange,27.0,100.0,50.0
15921382,grey,50.0,31.6,92.5
15461616,grey,227.0,14.3,93.1
